construction_year;total_area_sqm;fl_terrace;fl_double_glazing;property_type;subproperty_type
19610.0;5500.0;1;1;HOUSE;VILLA
19610.0;7580.0;1;1;HOUSE;HOUSE
18000.0;2000.0;1;0;HOUSE;HOUSE
18000.0;2000.0;1;0;HOUSE;HOUSE
18000.0;2000.0;1;0;HOUSE;HOUSE
18000.0;2000.0;1;0;HOUSE;HOUSE
19560.0;2500.0;1;1;HOUSE;FARMHOUSE
19730.0;2630.0;1;0;HOUSE;HOUSE
19300.0;2810.0;0;0;HOUSE;FARMHOUSE
18990.0;3030.0;1;0;HOUSE;MANOR_HOUSE
